video_id,gt,pred_lcrm_lite_fused
,2024年6月4日星期二凌晨4时59分至5时00分，外环高速沪太立交东1-1 03路段出现抛洒物交通事件。在该时段内，右侧车道出现一袋黄色包裹状物品，该物品呈不规则形状，体积较大，对通行造成潜在安全隐患。随后多辆车辆（包括轿车、货车及面包车）经过该区域，部分车辆为避让该物体而采取变道或减速措施，但未发生碰撞事故。该抛洒物未被及时清理，持续存在超过一分钟，影响了正常行车秩序，符合抛洒物异常特征：车道上有足够尺寸的异物，且可见车辆有绕行行为，推测可能来自货车货箱松动或货物未固定导致。,2024年6月4日星期五上午9时59分至10时00分，外环高速沪太立交东1-1 03路段发生抛洒物事件。视频显示，该路段为双向多车道高速公路，右侧车道有白色塑料袋状物体在行车道上，随后被车辆碾压带离道路。期间有数辆货车、轿车及厢式货车正常行
,2023年7月15日10时56分40秒左右，在外环高速吴中入口匝道（外）路段，一辆二轮摩托车驶入主路，行驶方向与主线车流一致，未见其在专用通道或允许区域通行，且该路段无明显二轮车专用道标识。该摩托车在车流中穿行，周围有多辆轿车和货车正常行驶，其行为存在安全隐患，可能引发追尾或变道冲突。属于典型的二轮车辆闯入高速公路的违法行为，对道路交通安全构成威胁。,2023年7月15日10时56分至10时57分，外环高速吴中入口匝道（外）路段出现交通拥堵事件。该路段为多车道高速公路，车流密集，主要由轿车、货车及厢式运输车组成，其中红色集装箱货车、白色厢式货车和蓝色集装箱货车等大型车辆在车道内缓慢行驶或
,2023年7月20日08时39分40秒左右，在外环高速吴淞江桥南路段，一辆二轮车从右侧应急车道闯入主车道，行驶方向与机动车同向，车辆未见明显牌照，驾驶员未佩戴头盔，该行为导致后方车辆紧急避让，存在较大安全隐患，属于典型的二轮车辆闯入高速公路交通异常事件。,2023年7月20日08时39分38秒，在外环高速吴淞江桥南路段，一辆二轮摩托车从右侧车道驶入主路，行驶于多车道高速公路的中间车道，该车辆未在专用通道或允许区域通行，且在湿滑路面上穿行于正常行驶的机动车之间，存在逆行和横穿车道的危险行为。该
,2023年7月25日06:39至06:47期间，外环高速莘庄立交东（外）路段出现明显交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中左侧方向（由西向东）车辆排成长队，车速显著降低，部分车辆处于缓慢移动或短暂停滞状态，形成持续性拥堵。涉事车辆包括大量轿车、货车、厢式货车及客车，其中红色和蓝色货车尤为集中，占据多个车道，导致通行效率下降。拥堵区域位于立交桥附近，受匝道汇入车流影响，车辆排队长度超过两公里，且在近十分钟内未见明显缓解趋势。右侧方向（由东向西）车流相对顺畅，但因中央隔离带限制，无法分流左侧拥堵车辆。现场无可见事故、施工或抛洒物迹象，也无异常停车或二轮车辆闯入行为，初步判断为早高峰时段车流量过大所致的常态化拥堵，属于典型瓶颈区域交通压力积聚现象。,2023年7月25日08时39分至08时40分，外环高速莘庄立交东（外）路段出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，左侧车道车辆排成长队，行驶缓慢，部分车辆处于停滞状态，右侧车道虽有车辆正常通行但亦受影响。涉事车辆包括大
,2023年8月3日早上7时35分至7时36分，外环高速丰翔路南段出现交通拥堵事件。该路段为多车道高速公路，两侧绿树成荫，道路标线清晰，前方500米处设有紧急停车带提示牌。视频显示，从画面左侧远处开始，车辆排成长队，车流缓慢移动，部分车辆处于低速行驶或短暂停滞状态，尤其在最左侧车道和中间车道，车辆间距明显缩小，形成持续性拥堵。涉事车辆包括轿车、货车、面包车及邮政运输车等多种类型，其中有多辆大型货车（如红色、白色箱式货车及绿色中国邮政货车）穿行于车流中，但未见异常停车或事故迹象。车辆整体保持有序行驶，无明显碰撞或变道冲突行为，但因车流量大且通行速度受限，导致通行效率下降。拥堵影响范围较长，从画面近端延伸至远端，持续时间超过1分钟，符合早高峰时段典型拥堵特征，表现为多辆车缓慢移动、排队长度超常且无缓解趋势的典型拥堵现象。,2023年8月3日07:35至07:36期间，外环高速丰翔路南段出现交通拥堵事件。该路段为多车道高速公路，两侧绿树成荫，道路中间设有绿色护栏。视频显示，从07:35:36开始，主车道车辆行驶缓慢，车流密集，多辆轿车、货车及客车在多个车道内排
,2024年1月8日18:10:01至18:11:00，在嘉闵东京沪立交北入路段，发生了严重的交通拥堵事件。视频显示，大量车辆在该路段缓慢移动或完全停止，排队车辆长度远超正常范围，且持续时间较长，无明显缓解趋势。涉事车辆包括多辆轿车、货车和面包车，它们在车道上密集排列，导致交通流严重受阻。这一情况发生在路口区域，进一步加剧了拥堵现象。异常特征表现为车辆尾灯亮起，形成红色光带，显示出明显的停滞状态。此次拥堵对过往车辆的通行效率产生了显著影响，可能导致后续交通压力增大。,2024年1月8日18时10分左右，在嘉闵东京沪立交北入路段，发生一起多车事故。事故发生在夜间高速公路的行车道上，一辆白色轿车与白色货车疑似发生碰撞，白色轿车斜停靠在机动车道上，右侧车道完全静止，驾驶员下车查看情况，白色货车也出现明显故障停
,2023年10月10日星期二凌晨00:13:49至00:14:47期间，在城市高架道路南向车道上发生占道施工交通事件。现场可见多辆工程车辆，包括一辆大型清障车和一辆应急作业车，停靠在右侧车道并开启警示灯，车辆周围摆放了多个红白相间的交通锥桶，形成临时隔离区域。施工区域位于高架桥主路与匝道交汇处，部分车道被封闭，导致后方车辆需减速绕行。该路段车流量较大，但未出现明显拥堵，车辆有序通过施工区域。施工人员未在画面中出现，但根据现场布置判断为正在进行夜间道路维护或抢修作业。异常特征包括：车道被锥桶分隔、工程车辆驻停、警示灯闪烁、通行速度降低等，符合占道施工的典型特征。,2023年10月10日星期二凌晨2点14分，位于城市高架道路的某路段发生占道施工交通事件。该路段为双向多车道高架桥，右侧车道设有连续的交通锥桶和警示标志，形成临时隔离带，占用部分行车道。现场可见一辆工程作业车停靠在右侧车道，车顶闪烁警示灯，
,2023年12月11日星期一18时47分至18时48分，外环高速吴中路路段出现严重交通拥堵，现场多车道车辆缓慢移动或完全停止，车流密集且持续时间较长，无明显事故或施工迹象，但对通行效率造成显著影响，表现为车辆间距极小、刹车灯连成一片，部分车辆在尝试变道，整体呈现典型高峰时段拥堵特征。,2023年12月11日18时47分至18时48分，外环高速吴中路路段出现严重交通拥堵事件。该路段为双向多车道高速公路，右侧方向车流密集，车辆行驶缓慢，尾灯连成一片，表明车辆处于低速或停滞状态。左侧对向车道车流相对正常，但整体通行效率显著下降
,2024年6月6日20时26分至20时27分，外环高速吴淞江桥南路段，一辆红色货车在右侧应急车道内完全静止，且驾驶员不在车内，车辆明显处于异常停车状态。该车停靠位置位于道路最右侧，占据应急车道，导致后方车辆被迫减速绕行，影响了正常通行秩序。视频中可见多辆车辆因避让该车而出现变道和刹车行为，形成局部交通拥堵。该异常停车行为持续时间较长，且无任何警示标志或施工迹象，符合异常停车判断标准。,2024年6月6日20时26分37秒至20时27分36秒，外环高速吴淞江桥南路段发生一起多车事故。事故发生在夜间，监控画面显示一辆黑色轿车停靠在最右侧车道靠近护栏处，车门打开，两名人员站在车旁，疑似车辆故障或发生碰撞后停车。该车所在车道未开
,2024年6月21日15时26分至15时27分，嘉闵西侧定焦07监控点位拍摄到隧道内发生一起多车事故。事故发生在隧道中间车道，涉事车辆为一辆黑色轿车和后方的出租车，出租车追尾黑色轿车，形成短暂拥堵。随后，一名女性乘客从黑色轿车中下车，站在车旁，另一名男性驾驶员也于稍后下车查看情况。期间，其他车辆绕行通过事故区域，未见明显碰撞痕迹，但车辆位置异常且有人员下车交涉，符合多车事故特征。事故影响了隧道右侧行车道的通行效率，造成短时交通压力，但未引发严重追尾或二次事故。,2024年6月21日15时26分至15时27分，嘉闵西侧定焦07监控点位拍摄到隧道内发生多车事故。事故发生在隧道中段，涉事车辆包括一辆白色货车、一辆白色轿车。视频显示，俩辆车已经发生事故，在最右侧车道停靠，疑似白色轿车追尾白色货车。事故造成
,2024年3月2日17:00至17:01，嘉闵高架路东侧西虹江南段出现拥堵交通事件。该路段为多车道高架道路，双向车流密集，右侧车道车辆行驶缓慢，部分车辆处于低速移动或短暂停止状态，形成持续性排队现象，车辆间距明显缩小，后方车辆被迫减速跟随。涉事车辆包括各类轿车、SUV、客车及公交车，其中一辆大型公交车在左侧车道缓慢行驶，未对右侧拥堵产生直接影响。右侧最外侧车道车辆排成长队，通行效率显著降低，且无明显事故或施工迹象，推测为高峰时段车流量过大所致。整体表现为典型的城市高峰期交通拥堵特征，影响范围覆盖多个车道，持续时间超过1分钟，未见异常停车、占道施工、二轮闯入、抛洒物或多车事故等其他异常行为。,2024年3月2日17:00:05至17:00:08，嘉闵高架路东侧西虹江南路段发生拥堵事件。该路段为多车道高架道路，车流密集，车辆以缓慢速度行驶，部分车辆几乎处于停滞状态，尤其在靠近画面右侧匝道区域形成明显排队现象，车辆间距极小，通行效率
